File Name	Gantry Angle	Collimator Angle	Table Angle	Field Coordinates	Ball Coordinates
GTCcc10-000.dcm	0.006635080357	359.99446346787	359.953125	(640.0599856849788, 637.2013782331827)	(638.7910321273966, 639.2350677161878)
GTCcc10-001.dcm	0.006635080357	71.9997914779804	359.953125	(639.8080056119712, 637.3848854012117)	(638.7910876968202, 639.233375848834)
GTCcc10-002.dcm	0.006635080357	144.000009526698	359.953125	(639.8907502692246, 637.8889024352673)	(638.7849339848157, 639.2705234239805)
GTCcc10-003.dcm	0.006635080357	216.000141550327	359.953125	(640.3874922872927, 637.8463248272585)	(638.7631213906865, 639.2517891302623)
GTCcc10-004.dcm	0.006635080357	287.999888593907	359.953125	(640.4531362891879, 637.3498696292058)	(638.8700239445518, 639.1275373672759)
GTCcc10-005.dcm	90.0049763082104	287.999897480797	359.953125	(640.0040165415471, 638.4446324203682)	(639.5095141962794, 639.4396878586055)
GTCcc10-006.dcm	90.0049763082104	216.00781982275	359.953125	(639.9220367505952, 638.8528432746637)	(639.5181950709748, 639.3296153478169)
GTCcc10-007.dcm	90.0049763082104	144.001102614092	359.953125	(639.4820937674438, 639.0318661730875)	(639.5537989352783, 639.442875667144)
GTCcc10-008.dcm	90.0049763082104	71.996823256928	359.953125	(639.2676901983459, 638.4200353392943)	(639.5243266490501, 639.4597951940588)
GTCcc10-009.dcm	90.0049763082104	359.997618313599	359.953125	(639.6611280635911, 638.2935098026207)	(639.4759936628366, 639.5000459151114)
GTCcc10-010.dcm	180.007630111376	359.997618313599	359.953125	(639.4829996588529, 638.6475416943894)	(640.5146239194819, 638.8742944174043)
GTCcc10-011.dcm	180.009952624624	71.9999070075423	359.953125	(639.2009174758169, 638.8540478432432)	(640.4837748257976, 638.8899535732344)
GTCcc10-012.dcm	180.009952624624	144.000142830039	359.953125	(639.3445798160361, 639.4583587207725)	(640.4915022517267, 638.8754881177449)
GTCcc10-013.dcm	180.009952624624	216.000052681433	359.953125	(639.7840854225337, 639.431564092665)	(640.4960530063704, 638.9241257404689)
GTCcc10-014.dcm	180.009952624624	287.999773064346	359.953125	(639.8989094936497, 638.9904245752036)	(640.5038797051279, 638.9274692567949)
GTCcc10-015.dcm	269.995023675384	287.999764177456	359.953125	(640.5279522043926, 638.1926311108771)	(639.6525841770273, 638.8996128245983)
GTCcc10-016.dcm	269.995023675384	215.995635897412	359.953125	(640.2330150940529, 638.6820682914083)	(639.6684252012358, 638.8133257929934)
GTCcc10-017.dcm	269.995023675384	143.997565632119	359.953125	(639.8967844472597, 638.6235152097627)	(639.6294227686739, 638.8764642011802)
GTCcc10-018.dcm	269.995023675384	72.0061456038858	359.953125	(639.735859439614, 638.2058931592685)	(639.671804446948, 638.9094386964838)
GTCcc10-019.dcm	269.995023675384	0.0079537659463	359.953125	(639.977795793716, 637.9541378359149)	(639.6000297455477, 638.911185563353)
GTCcc10-020.dcm	179.99004735897	0.0079537659463	359.953125	(639.5886575408681, 638.6363749567425)	(640.6037200855405, 638.8824042042478)
GTCcc10-021.dcm	179.99004735897	71.9998981206529	359.953125	(639.3183237834064, 638.943551218707)	(640.5706905750822, 638.9404492938042)
GTCcc10-022.dcm	179.99004735897	144.000133943149	359.953125	(639.421421973475, 639.4413820518338)	(640.6449047866372, 638.8836242274562)
GTCcc10-023.dcm	179.99004735897	216.000043794544	359.953125	(639.8612986497387, 639.3961013979673)	(640.6063305747448, 638.9319453201596)
GTCcc10-024.dcm	179.99004735897	287.999799725014	359.953125	(639.9961463585505, 638.8924427595333)	(640.6144707078031, 638.8550753558727)
GTCcc10-025.dcm	180.003317536064	287.999773064346	89.998046875	(639.9664223721536, 638.8569322941051)	(639.595289611378, 640.1638099105859)
GTCcc10-026.dcm	180.003317536064	287.999773064346	45	(639.9569603635605, 638.967368131083)	(640.3904761144994, 639.9785866058456)
GTCcc10-027.dcm	180.003317536064	287.999773064346	315	(639.9180718438271, 638.9998190192473)	(639.6679910520442, 638.2910075135198)
GTCcc10-028.dcm	180.003317536064	287.999773064346	270.005859375	(639.9394730350948, 638.9875042030625)	(639.120618414057, 637.0457604628455)
