File Name	Gantry Angle	Collimator Angle	Table Angle	Field Coordinates	Ball Coordinates
GTCcc10-000.dcm	0.006635080357	359.99446346787	359.953125	(640.0301657739732, 637.1807195128632)	(638.820259174166, 639.2319013419292)
GTCcc10-001.dcm	0.006635080357	71.9997914779804	359.953125	(639.7131245652208, 637.3831547655261)	(638.8453382969572, 639.1733679085378)
GTCcc10-002.dcm	0.006635080357	144.000009526698	359.953125	(639.8531024279165, 637.9249111896759)	(638.8111171240876, 639.2281053402203)
GTCcc10-003.dcm	0.006635080357	216.000141550327	359.953125	(640.3779701278986, 637.8822594481586)	(638.7915031860891, 639.2320396277652)
GTCcc10-004.dcm	0.006635080357	287.999888593907	359.953125	(640.4450492356392, 637.3340716089083)	(638.8428273814785, 639.1231277278872)
GTCcc10-005.dcm	90.0049763082104	287.999897480797	359.953125	(639.9821994646868, 638.4237977597309)	(639.5430509040873, 639.3904579140599)
GTCcc10-006.dcm	90.0049763082104	216.00781982275	359.953125	(639.8900661109531, 638.8521211896251)	(639.5296011558398, 639.283654322434)
GTCcc10-007.dcm	90.0049763082104	144.001102614092	359.953125	(639.5003209557236, 639.0724430887086)	(639.5602666436073, 639.3864587782854)
GTCcc10-008.dcm	90.0049763082104	71.996823256928	359.953125	(639.2098538930935, 638.430102369215)	(639.5178080447282, 639.3931367215514)
GTCcc10-009.dcm	90.0049763082104	359.997618313599	359.953125	(639.6228633032034, 638.2765789039337)	(639.4865900145288, 639.4462442485238)
GTCcc10-010.dcm	180.007630111376	359.997618313599	359.953125	(639.4551527216139, 638.6605683522915)	(640.5240585394122, 638.8832600658012)
GTCcc10-011.dcm	180.009952624624	71.9999070075423	359.953125	(639.1583516671122, 638.9086499733219)	(640.4875803448662, 638.9157038818116)
GTCcc10-012.dcm	180.009952624624	144.000142830039	359.953125	(639.3008290713351, 639.4621302290122)	(640.5036839801513, 638.8874478252676)
GTCcc10-013.dcm	180.009952624624	216.000052681433	359.953125	(639.7802033585293, 639.4320517868692)	(640.5144321019997, 638.9654712266096)
GTCcc10-014.dcm	180.009952624624	287.999773064346	359.953125	(639.8834480874596, 638.9630673380298)	(640.5017801424485, 638.9507168890658)
GTCcc10-015.dcm	269.995023675384	287.999764177456	359.953125	(640.5167310020566, 638.1662609086985)	(639.6840700598058, 638.8875880362652)
GTCcc10-016.dcm	269.995023675384	215.995635897412	359.953125	(640.260585347448, 638.6633316462894)	(639.7010058365653, 638.8402257893218)
GTCcc10-017.dcm	269.995023675384	143.997565632119	359.953125	(639.8590568681758, 638.6346436786351)	(639.6901487078715, 638.8934389328892)
GTCcc10-018.dcm	269.995023675384	72.0061456038858	359.953125	(639.6884691230598, 638.2394735828238)	(639.7003676884931, 638.8925170547266)
GTCcc10-019.dcm	269.995023675384	0.0079537659463	359.953125	(639.9099555134417, 637.9912253021542)	(639.6285014376634, 638.9469606738568)
GTCcc10-020.dcm	179.99004735897	0.0079537659463	359.953125	(639.5495476328927, 638.6427963837623)	(640.6324762890197, 638.907915230493)
GTCcc10-021.dcm	179.99004735897	71.9998981206529	359.953125	(639.2570633017259, 638.9659290775144)	(640.5829687401427, 638.9289376079267)
GTCcc10-022.dcm	179.99004735897	144.000133943149	359.953125	(639.4082833030336, 639.4565015038778)	(640.6703048743094, 638.8738780055448)
GTCcc10-023.dcm	179.99004735897	216.000043794544	359.953125	(639.8597801855285, 639.4119430037326)	(640.606421814411, 638.9367894123783)
GTCcc10-024.dcm	179.99004735897	287.999799725014	359.953125	(639.9545520486877, 638.911675663245)	(640.628136093417, 638.8973289959399)
GTCcc10-025.dcm	180.003317536064	287.999773064346	89.998046875	(639.9373597960162, 638.8755570051845)	(639.6259529308188, 640.1179591504001)
GTCcc10-026.dcm	180.003317536064	287.999773064346	45	(639.9440922766845, 638.9405224553749)	(640.3886614596679, 639.98181500066)
GTCcc10-027.dcm	180.003317536064	287.999773064346	315	(639.9388777562074, 638.9788104795338)	(639.6634731952506, 638.292641472229)
GTCcc10-028.dcm	180.003317536064	287.999773064346	270.005859375	(639.9324304034025, 638.9636558458002)	(639.113210216756, 637.07101513033)
